state,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,ViolentCrimesPerPop
LA,219531,2.63,43.89,53.95,1.67,1.57,18.18,32.79,19.12,10.39,219531,100.0,21898,75.89,0.65,33.86,22.9,9.88,15.16,29024,12398,17592,6159,17787,9069,8762.0,12527,54669,26.17,8.8,23.24,28.34,9.35,56.17,9.95,31.81,10.27,31.72,10.33,40.74,14.14,12.37,3.18,58.08,51.66,66.25,58.25,63.3,68.76,16228,9.92,6531,25.42,34.54,46.7,55.14,0.76,1.03,1.39,1.64,93.11,0.78,6.43,4.09,2.51,2.69,2.3,56.7,5.33,52.58,2,13775,85.82,52.83,13.02,54.72,1965,5.96,0.5,43000,67900,94700,51700,199,273,346,147,354,28.5,18.2,12.5,131,7,2.97,75.16,51.53,80.32,92.04,591.0,258.05,445.0,194.3,168694.0,73656.8,285.4,258.0,75.95,77.83,21.32,0.68,0.0,22.0,20.0,8.0,103.2,76.6,2865.6,1.88,499.0,23308370.0,75.3,5.0,3.38,101771.3,2978.69
CA,109602,3.04,51.88,17.4,2.51,38.55,15.49,32.09,15.48,6.13,109602,100.0,29881,83.47,0.6,19.34,16.07,11.32,10.45,32077,11899,13089,14437,20939,14370,6083.0,6504,17806,16.47,17.16,34.0,14.93,10.0,62.87,17.35,22.35,15.73,20.93,11.74,42.29,18.78,15.42,3.62,57.06,54.18,68.39,63.51,59.19,67.29,8655,11.89,31670,21.64,32.37,42.49,56.37,6.25,9.35,12.28,16.29,59.93,14.03,16.2,11.12,2.99,3.12,2.92,37.88,24.45,78.45,2,2611,93.26,36.31,3.1,19.92,1958,4.42,0.92,135000,170400,210100,75100,468,556,670,202,618,31.2,26.3,12.8,10,95,28.9,39.84,45.42,85.65,87.55,206.0,186.19,188.0,169.92,70000.0,63269.4,339.8,186.2,50.98,64.56,19.9,11.17,3.88,34.47,12.0,6.0,118.9,9.5,11537.1,7.5,94.0,21107804.0,91.26,5.0,5.83,190782.59,2078.85
WI,96466,2.51,0.47,94.22,2.32,1.1,13.75,28.94,13.74,11.22,96466,100.0,26770,77.3,0.52,50.43,26.38,8.46,12.54,33367,12969,13428,11094,5438,3552,6297.0,5166,12607,13.39,9.08,19.15,16.66,5.42,64.66,22.09,20.71,17.91,21.78,9.48,31.71,11.47,10.54,3.08,73.03,73.56,77.8,75.84,65.65,71.31,2155,2.83,2318,25.11,32.01,38.57,57.51,0.6,0.77,0.93,1.38,94.99,1.35,4.1,2.64,2.45,2.7,2.12,62.36,2.25,51.49,2,1343,96.62,56.56,0.6,30.01,1962,2.71,0.32,44400,55500,70900,26500,253,314,379,126,363,25.1,20.6,13.3,150,1,2.4,81.03,51.17,82.99,92.57,128.0,123.63,93.0,89.82,36500.0,35253.4,285.2,123.6,94.22,97.66,0.0,0.0,0.0,0.0,10.0,7.0,210.9,45.4,2124.3,2.18,28.0,8103698.0,72.66,10.0,7.81,78269.4,435.6
OK,367302,2.36,13.57,79.35,1.4,2.6,13.38,27.1,13.31,11.4,367193,100.0,25708,78.06,1.04,40.18,24.13,5.85,13.35,32619,15434,17272,7238,9829,14901,7797.0,9193,53768,14.99,5.03,17.74,25.82,6.09,62.75,14.16,24.19,10.36,30.07,12.78,28.45,17.3,15.18,2.96,68.73,65.86,79.06,70.27,59.86,66.88,9754,3.66,11010,19.28,26.88,36.79,47.65,0.58,0.81,1.1,1.43,94.63,0.88,3.64,2.29,2.31,2.47,2.1,59.77,2.8,51.13,2,20764,88.22,55.81,11.02,50.29,1965,7.03,0.33,42000,60500,89700,47700,225,293,380,155,358,24.4,19.8,12.8,334,91,3.0,56.17,46.2,77.81,86.27,702.0,186.13,624.0,165.45,336192.0,89139.7,478.9,186.1,89.18,86.18,9.12,0.43,0.28,9.83,32.0,14.0,89.2,190.1,1931.9,1.5,650.0,54067288.0,88.89,5.0,4.56,143356.8,1304.78
NH,99567,2.47,0.97,96.97,1.1,2.13,12.69,29.69,14.17,12.17,99567,100.0,31911,79.96,0.5,44.61,25.99,5.86,13.83,38812,15111,15272,9625,8595,12818,8309.0,9600,8694,8.99,11.74,25.06,19.57,7.07,65.92,18.34,21.49,14.59,24.55,10.74,33.47,13.33,12.1,3.01,71.67,69.45,76.81,71.42,69.15,76.26,2089,2.99,6739,15.61,22.11,27.33,29.71,1.06,1.5,1.85,2.01,81.17,1.7,3.45,2.18,2.4,2.69,2.15,51.62,1.61,58.39,2,4023,90.93,46.04,2.11,23.39,1953,5.81,0.39,100500,118600,143300,42800,371,467,557,186,537,26.3,23.4,15.1,147,1,6.77,60.24,49.01,78.16,85.75,165.0,168.12,150.0,152.84,55519.0,56568.3,336.5,168.1,97.58,98.79,0.61,0.0,0.0,0.61,7.0,7.0,191.8,34.2,2910.9,1.41,33.0,8124523.0,90.91,0.0,4.24,82780.8,223.14
CA,131723,3.61,14.43,57.02,6.67,51.27,16.1,32.83,16.31,6.19,131723,100.0,32132,82.82,0.53,25.88,18.05,13.01,11.02,34751,10728,12191,10359,11504,10714,7007.0,6930,23648,18.43,21.66,40.4,13.13,9.08,60.3,26.29,17.92,24.25,19.68,8.9,39.85,13.43,11.11,3.96,71.83,63.54,78.63,72.57,51.64,57.38,6699,7.14,41589,20.77,32.01,42.67,55.28,6.56,10.11,13.47,17.45,50.43,17.57,21.98,16.93,3.52,3.47,3.59,56.57,25.49,56.28,2,2023,94.74,57.43,4.15,18.78,1963,5.64,0.44,107600,134200,172000,64400,427,527,646,219,592,32.0,26.8,11.6,211,6,31.57,45.96,40.16,79.41,88.17,172.0,118.95,152.0,105.12,211982.0,146606.0,1232.5,119.0,70.97,86.05,3.49,8.72,1.74,12.79,7.0,13.0,105.7,23.6,5570.2,3.24,77.0,18258220.0,88.37,5.0,4.07,126273.2,1627.33
AR,175795,2.42,33.98,64.68,0.87,0.76,13.54,27.86,13.17,11.13,175781,100.0,26889,79.02,0.93,37.56,23.85,5.67,14.37,34347,15307,19395,7559,19763,12880,16843.0,12926,25193,14.62,6.11,18.05,30.34,5.26,64.12,10.37,31.4,10.41,33.74,11.93,31.08,16.45,14.4,3.04,64.44,58.75,73.91,64.45,70.33,75.92,8160,6.51,3638,22.37,29.36,40.43,49.78,0.46,0.61,0.84,1.03,96.23,0.54,4.72,2.97,2.37,2.57,2.11,61.04,3.06,49.15,3,8422,89.6,56.21,9.25,36.43,1968,5.86,0.51,44200,64200,92700,48500,239,318,395,156,415,26.9,19.8,13.0,140,1,2.07,70.81,48.8,80.79,89.48,100.0,55.3,74.0,40.92,28293.0,15647.0,282.9,55.3,82.68,82.0,18.0,0.0,0.0,18.0,4.0,5.0,0.0,106.6,1649.7,1.44,100.0,8265000.0,74.0,0.0,4.0,45708.2,3255.71
NY,61840,2.38,15.58,82.19,0.26,1.2,12.62,24.51,12.09,17.36,61840,100.0,20641,66.15,0.26,36.04,38.44,12.73,22.5,26810,10904,11593,7854,5884,11654,9948.0,10145,11387,18.64,11.7,32.33,9.75,10.83,51.23,22.77,24.86,19.64,17.95,11.1,32.48,13.35,12.33,3.01,58.52,57.24,62.44,67.03,53.02,63.99,3258,6.18,3984,4.87,6.38,7.91,10.22,0.31,0.41,0.51,0.66,90.9,0.94,4.2,2.65,2.35,2.55,2.09,60.85,1.65,47.72,3,2665,90.69,55.99,11.44,54.75,1942,7.0,0.25,34900,45100,59200,24300,203,257,318,115,330,30.8,17.9,15.0,163,0,6.44,76.41,63.29,92.5,96.32,155.0,256.6,130.0,215.21,71078.0,117667.1,458.6,256.6,86.07,96.13,3.23,0.65,0.0,3.87,10.0,8.0,151.6,14.6,4248.1,3.0,54.0,7257762.0,83.87,0.0,6.45,120149.7,736.68
NJ,45048,2.75,14.11,79.77,1.42,10.32,12.49,24.83,11.68,17.97,44090,97.87,29211,62.72,0.27,46.58,40.55,7.14,20.68,35996,12967,13994,9428,5106,12153,6380.0,8242,6939,16.09,11.31,27.3,17.19,7.29,48.9,14.39,27.62,14.89,26.48,7.12,28.58,9.66,8.54,3.37,76.48,75.33,90.12,76.92,50.84,62.0,1808,5.11,4749,9.83,14.17,18.57,21.94,1.04,1.49,1.96,2.31,77.81,2.97,10.49,6.82,2.62,2.57,2.73,63.98,5.53,61.37,2,1536,91.41,65.4,2.28,53.91,1970,3.55,0.32,74400,109700,147500,73100,417,513,644,227,586,35.1,25.8,19.2,101,5,10.54,50.09,57.34,76.59,89.35,94.0,202.62,85.0,183.22,37500.0,80831.2,398.9,202.6,91.47,88.3,6.38,5.32,0.0,10.64,6.0,6.0,65.4,25.7,1751.5,3.9,36.0,7623750.0,90.43,10.0,6.38,164329.7,581.98
SC,70218,2.99,34.35,62.67,1.63,2.48,17.41,41.2,23.19,5.31,70161,100.0,21824,83.95,0.43,21.88,13.54,7.96,12.63,23435,10315,12051,6792,10320,9686,29770.0,19045,13248,21.73,8.24,26.15,11.41,4.82,71.56,14.33,17.12,16.51,18.9,13.12,41.14,16.86,14.78,3.14,62.54,56.29,71.93,53.09,60.62,64.55,3568,8.65,1623,15.77,21.44,32.96,39.93,0.36,0.5,0.76,0.92,94.1,0.62,5.18,3.53,2.59,2.57,2.6,37.25,5.87,60.54,2,3109,88.32,37.49,5.08,55.87,1973,11.93,0.73,46900,60100,76200,29300,233,319,389,156,410,26.2,21.4,13.4,28,10,2.31,48.68,29.01,57.05,66.02,138.0,203.28,133.0,195.92,91792.0,135214.91,665.2,203.3,82.23,80.43,17.39,2.17,0.0,19.57,4.0,10.0,7.0,51.8,1354.9,3.02,93.0,5530930.0,96.38,10.0,2.9,81473.8,2264.09
FL,49998,2.48,31.88,62.42,2.41,24.56,11.61,26.48,12.0,13.09,49998,100.0,24898,79.31,0.68,31.97,26.14,4.62,10.03,28424,13297,16380,7962,16151,11065,7433.0,10062,7570,15.48,11.25,30.7,17.89,8.23,62.11,9.49,24.17,11.81,22.63,13.98,33.22,17.9,16.08,3.14,61.82,58.0,74.4,62.44,73.88,76.96,2369,7.52,18587,14.81,26.29,37.14,51.63,5.5,9.77,13.81,19.19,54.79,8.9,8.32,5.03,2.44,2.71,2.18,54.1,15.46,77.26,2,1980,91.04,48.68,1.62,18.18,1964,3.44,0.62,59800,71800,93500,33700,371,423,496,125,489,28.5,24.2,12.5,10,14,37.18,26.15,43.15,78.04,80.7,102.0,187.77,98.0,180.41,40000.0,73636.3,392.2,187.8,80.06,82.35,5.88,11.76,0.0,17.65,4.0,6.0,249.7,8.7,5728.5,7.87,64.0,7630773.0,96.08,10.0,3.92,140475.59,1818.82
MS,196637,2.74,55.75,43.57,0.5,0.45,16.18,29.7,15.17,10.48,196594,100.0,23270,77.64,0.91,29.46,26.94,10.83,12.77,28401,12216,19315,6719,6269,7230,9671.0,9703,43216,22.68,9.01,24.97,26.91,8.79,59.11,9.73,30.65,12.48,28.01,10.91,36.89,15.27,13.3,3.27,57.38,50.61,66.54,58.36,72.0,75.56,16372,10.76,2006,27.12,40.73,50.3,56.58,0.28,0.42,0.51,0.58,96.72,0.45,7.57,5.18,2.64,2.78,2.46,60.21,6.2,45.98,3,7509,90.54,57.3,10.37,40.18,1965,7.47,0.57,39900,54600,76600,36700,175,290,375,200,388,28.8,21.8,14.0,93,2,1.02,82.08,54.94,84.57,93.26,350.0,179.37,238.0,121.97,195276.0,100078.4,557.9,179.4,80.71,62.86,37.14,0.0,0.0,37.14,14.0,9.0,48.6,112.9,1741.2,1.86,210.0,15920730.0,68.0,5.0,4.0,81593.3,1424.74
OH,182044,2.51,40.43,58.37,0.64,0.74,15.22,29.63,15.68,12.01,182044,100.0,19779,69.08,0.34,27.28,28.83,15.5,19.55,24819,9946,11312,8015,10592,9861,5529.0,9876,46480,26.53,10.74,31.66,12.29,10.39,51.62,18.62,25.98,17.69,21.74,15.52,38.43,19.24,17.53,3.1,49.22,43.22,51.14,48.38,49.49,58.68,15663,10.87,2606,12.24,18.0,29.36,35.99,0.18,0.26,0.42,0.52,96.11,0.37,6.17,3.98,2.41,2.47,2.35,52.22,2.96,54.84,2,7700,90.42,50.98,14.44,48.9,1946,8.83,0.55,31800,43200,56200,24400,172,253,321,149,329,29.3,17.8,13.7,406,5,1.43,67.44,51.74,85.18,91.36,506.0,282.17,396.0,220.83,213229.0,118905.1,421.4,282.2,75.77,82.61,16.8,0.4,0.2,17.19,12.0,12.0,256.0,57.0,3194.8,7.48,270.0,31776600.0,78.26,0.0,2.37,177199.2,1629.43
NY,48718,2.51,19.03,73.65,3.07,14.16,10.76,24.85,11.54,13.51,48718,100.0,44004,80.23,0.51,54.79,27.89,4.71,14.66,56684,24330,27864,13741,14630,21738,10654.0,11419,3645,7.68,7.88,19.69,37.48,5.02,64.7,8.84,32.52,5.95,40.1,8.16,36.51,11.95,10.22,3.05,73.04,67.53,86.67,69.74,58.18,69.55,2181,6.71,10313,18.29,28.91,36.3,44.77,3.87,6.12,7.69,9.48,76.13,5.04,6.36,4.03,2.39,2.56,2.21,55.26,6.12,61.1,2,1282,93.81,51.63,0.94,36.19,1950,2.28,0.44,239300,296000,390400,151100,386,545,777,391,589,25.9,20.9,13.9,539,3,21.17,59.62,60.63,82.48,90.09,200.0,402.58,176.0,354.27,47951.0,96519.7,239.8,402.6,86.15,87.5,8.5,4.0,0.0,12.5,2.0,9.0,107.2,10.2,4794.1,18.8,56.0,12450292.0,88.0,0.0,1.0,250609.7,366.34
TX,515342,3.21,3.44,76.87,1.16,69.02,17.84,31.16,15.53,8.0,515181,99.97,23460,80.77,0.6,27.54,21.77,9.74,16.12,25157,9603,10352,9929,8115,9542,6371.0,6538,128886,25.32,22.23,34.67,16.2,9.85,55.19,16.73,24.39,16.24,25.83,8.69,31.32,14.05,11.54,3.63,72.19,65.81,79.82,73.7,51.2,57.49,16162,3.76,120432,13.59,20.12,26.73,35.26,3.18,4.7,6.25,8.24,33.31,14.73,12.4,9.83,3.17,3.32,2.97,60.32,14.01,43.94,3,8080,95.21,57.62,5.24,29.26,1970,8.62,0.92,45500,58500,78800,33300,214,303,384,170,349,26.1,20.6,12.0,359,95,23.37,51.27,52.51,81.68,84.6,738.0,125.04,654.0,110.81,550000.0,93186.4,745.3,125.0,99.59,36.18,2.17,60.7,0.54,63.28,36.0,6.0,90.5,254.2,2027.3,3.13,525.0,36031496.0,88.62,5.0,4.88,61048.1,1035.05
IN,57483,2.68,9.42,88.63,1.14,1.31,18.99,32.55,20.49,14.68,57483,100.0,19118,68.85,0.54,35.76,36.02,9.56,19.04,24876,10527,10613,6296,5488,24202,71112.0,21286,10140,20.43,8.83,27.66,15.83,8.33,50.05,16.38,28.97,16.45,23.68,12.68,38.56,14.75,13.75,2.98,65.58,62.99,69.92,69.32,61.94,68.92,1144,2.78,1439,31.9,40.17,46.14,60.6,0.8,1.01,1.16,1.52,95.26,0.72,4.05,2.5,2.32,2.41,2.17,64.53,2.18,63.13,2,2589,89.25,62.11,4.48,49.09,1939,10.43,0.63,20900,32300,46900,26000,168,224,280,112,282,27.4,16.6,12.9,73,0,2.5,74.16,48.43,76.15,88.35,117.0,192.65,109.0,179.47,45962.0,75678.8,392.8,192.6,90.34,98.29,1.71,0.0,0.0,1.71,8.0,7.0,33.0,28.7,2006.2,1.25,66.0,2857353.0,93.16,0.0,6.84,47047.8,321.08
CA,164164,3.01,16.01,60.64,4.0,34.57,14.78,30.37,14.56,9.0,164164,100.0,25533,73.63,0.33,27.88,23.34,17.98,15.9,28843,10865,13068,7947,8925,7815,6887.0,7167,36174,22.79,12.54,31.91,12.71,10.69,54.27,12.3,24.82,15.67,20.9,13.11,34.9,17.73,15.47,3.43,61.49,55.92,65.33,64.98,46.31,55.83,9790,7.94,25392,21.04,33.97,46.12,57.21,3.25,5.25,7.13,8.85,70.98,8.34,11.74,8.42,2.9,2.84,2.97,51.21,14.54,60.73,2,4322,92.65,52.25,10.55,26.26,1963,7.95,0.44,75500,96200,127100,51600,334,422,517,183,485,32.1,22.9,11.5,828,133,15.47,51.89,40.1,72.08,88.19,1139.0,623.66,701.0,383.83,577907.0,316432.5,507.4,623.7,69.48,57.58,2.94,8.08,0.88,9.65,44.0,7.0,92.2,57.1,2876.8,1.72,531.0,99870704.0,61.55,5.0,3.86,546841.19,3047.66
NY,231636,2.47,31.53,61.09,1.76,8.66,13.87,31.43,15.28,10.4,231636,100.0,22785,72.54,0.33,34.45,24.83,16.52,14.6,27675,11704,14210,8073,9619,7261,5648.0,5967,52237,23.5,11.03,31.21,18.99,8.8,57.84,24.75,29.63,16.58,24.85,13.21,45.78,16.76,15.12,3.14,46.1,42.05,49.89,46.18,56.1,63.2,23779,14.34,14423,14.87,21.55,29.58,38.06,0.93,1.34,1.84,2.37,85.82,2.55,6.99,3.94,2.37,2.61,2.18,48.42,2.93,53.97,2,7547,92.54,44.0,9.51,32.68,1939,7.79,0.53,53600,65200,75500,21900,307,377,444,137,442,32.3,22.1,15.7,294,1,6.23,69.01,45.53,85.12,91.51,628.0,272.16,556.0,240.95,453696.0,196618.8,722.4,272.2,82.43,77.71,13.22,7.32,0.8,20.54,34.0,7.0,230.5,37.1,6248.1,10.77,285.0,54179436.0,88.54,10.0,5.41,234798.09,1171.84
OK,80071,2.51,3.57,87.49,3.21,2.38,20.19,37.58,23.27,7.38,74195,92.66,25165,83.87,1.7,41.84,16.19,3.22,11.83,35332,13690,14273,9287,10750,8095,8081.0,8995,11221,15.04,4.16,12.86,38.05,6.05,63.66,8.64,36.73,8.96,35.72,8.99,40.25,13.35,11.19,2.98,75.6,73.94,82.88,76.41,61.9,72.12,606,1.3,3461,33.29,46.78,56.23,63.51,1.44,2.02,2.43,2.75,93.39,0.71,3.03,1.85,2.34,2.61,2.06,56.93,2.39,50.93,2,3743,89.5,51.04,3.74,41.89,1973,4.9,0.19,46800,65600,90500,43700,236,294,369,133,362,28.9,19.3,12.1,32,0,4.32,58.2,36.91,62.73,85.64,121.0,137.77,91.0,103.62,43327.0,49333.3,358.1,137.8,89.97,96.69,1.65,0.83,0.0,2.48,11.0,11.0,174.2,183.4,436.6,1.22,48.0,4651812.0,75.21,0.0,9.09,52966.8,230.0
MA,103439,2.79,2.39,81.07,11.11,10.15,15.34,32.56,16.73,10.69,103439,100.0,29351,75.39,0.43,33.27,26.31,14.64,14.28,35138,12701,14110,9497,9691,6619,5255.0,6311,17900,17.99,16.6,34.21,15.51,10.68,58.39,29.49,23.48,17.96,22.9,9.04,42.34,12.51,10.84,3.3,62.75,58.43,68.03,62.77,55.5,64.18,4164,5.62,16998,15.37,32.65,53.0,64.97,2.53,5.36,8.71,10.68,67.9,6.99,8.41,5.6,2.68,2.85,2.56,44.59,6.65,57.63,2,3283,91.85,41.89,3.08,27.72,1944,5.04,1.0,106500,131100,158000,51500,324,494,600,276,561,28.4,22.3,13.7,182,50,16.43,69.08,48.07,82.37,86.87,177.0,183.27,153.0,158.42,100000.0,103543.3,565.0,183.3,87.84,93.22,0.56,6.21,0.0,3.95,19.0,7.0,151.4,14.3,7247.1,2.95,24.0,9241061.0,86.44,0.0,10.73,95684.9,1274.62
IA,95333,2.56,7.89,89.13,1.05,3.46,14.14,27.75,13.47,11.3,95027,99.68,26218,76.25,0.76,42.51,26.36,8.0,16.97,32611,12557,13289,6604,7503,4966,7002.0,7627,14452,15.59,7.16,21.19,20.14,6.51,61.58,17.62,22.98,16.81,24.95,10.16,30.8,13.35,11.85,3.08,68.0,65.35,71.42,72.26,63.89,69.95,3696,5.04,2348,18.06,26.83,34.88,38.67,0.44,0.66,0.86,0.95,94.69,0.83,4.64,3.12,2.5,2.65,2.25,64.98,1.99,48.98,3,3138,92.22,61.17,7.84,43.56,1956,4.27,0.31,37200,48800,65100,27900,220,283,345,125,351,26.3,17.3,13.1,107,31,2.46,63.82,51.41,81.4,86.3,142.0,145.78,123.0,126.27,94000.0,96499.3,662.0,145.8,93.36,95.07,2.82,1.41,0.0,4.23,6.0,10.0,110.3,63.6,1499.7,1.06,61.0,8517862.0,86.62,10.0,4.23,87443.4,1565.55
NC,207951,2.42,27.58,69.18,2.47,1.41,15.95,35.77,19.54,7.94,207951,100.0,32451,86.08,1.07,45.56,17.63,4.07,11.01,42212,16896,20106,9460,12321,11232,10005.0,13263,22942,11.8,4.77,13.44,40.56,3.97,68.92,12.34,27.11,7.46,35.46,9.84,42.21,13.94,11.97,2.92,69.26,66.76,81.34,69.03,65.99,72.95,7020,6.06,10434,26.47,40.77,52.89,60.03,1.33,2.05,2.65,3.01,93.07,0.98,3.13,1.8,2.26,2.5,2.05,51.85,2.62,55.36,2,6821,92.64,46.88,1.06,22.25,1974,3.65,0.26,72500,96600,135300,62800,320,394,474,154,479,24.6,22.1,12.6,215,2,5.02,56.1,36.91,65.43,80.42,413.0,171.45,397.0,164.8,129983.0,53959.3,314.7,171.4,82.74,85.71,13.08,0.48,0.0,13.56,29.0,13.0,58.5,91.3,2277.5,2.79,248.0,21762752.0,96.13,5.0,7.02,90342.7,842.7
NJ,87492,3.29,56.42,19.0,1.32,31.17,17.6,31.78,15.89,7.72,87492,100.0,17386,69.28,0.09,12.29,24.94,26.92,12.29,18874,7276,9803,6965,66423,6441,5173.0,6003,30588,36.56,20.02,50.33,6.44,16.3,46.1,19.29,27.65,24.0,13.89,13.69,51.26,18.62,16.34,3.71,32.86,26.62,31.47,33.55,45.56,54.73,17760,24.19,3436,25.7,35.54,46.97,58.47,1.01,1.4,1.84,2.3,69.67,7.12,16.47,11.93,3.15,3.15,3.15,48.4,15.24,48.76,3,3512,88.35,48.39,39.89,63.87,1945,20.8,1.76,21500,31300,42900,21400,167,323,416,249,414,32.5,20.6,16.2,293,122,3.93,55.54,55.36,85.83,90.57,291.0,349.36,234.0,280.93,113574.0,136349.91,390.3,349.4,63.67,55.33,33.68,10.65,0.34,44.67,9.0,12.0,117.3,9.1,9575.4,18.34,72.0,15887845.0,80.41,5.0,3.09,190739.59,3530.78
CA,106209,4.06,0.99,62.23,11.76,72.49,18.21,35.51,18.15,5.84,106209,100.0,28034,82.36,0.43,18.42,17.57,15.41,10.32,28004,8056,8292,8583,8605,9568,6704.0,6500,23446,22.51,31.87,55.72,6.01,9.4,58.34,34.47,12.19,33.92,11.3,7.45,42.66,12.52,9.9,4.24,68.91,59.98,74.73,71.86,46.63,51.27,7165,9.19,51424,21.44,33.35,44.07,57.69,10.38,16.15,21.34,27.93,26.49,29.27,28.02,23.29,4.0,3.56,4.29,35.85,42.63,73.74,2,1036,96.19,40.21,4.44,29.25,1962,8.56,1.33,133800,172100,208300,74500,446,541,642,196,600,30.0,26.7,11.7,287,152,48.42,40.11,45.15,82.83,85.56,113.0,107.43,108.0,102.67,58700.0,55805.4,519.5,107.4,82.75,67.19,1.56,17.97,1.56,21.09,11.0,12.0,126.8,9.8,10789.2,6.47,30.0,14800384.0,95.58,10.0,9.73,140705.41,1318.6
TX,465622,2.42,12.43,70.56,3.04,22.95,16.73,35.98,19.84,6.63,465577,100.0,25414,85.66,1.08,40.55,14.21,4.5,10.26,33481,14295,16885,8863,9014,8517,7143.0,8034,80369,17.93,7.84,17.67,34.4,6.32,67.27,11.16,28.83,8.36,34.29,11.1,43.04,16.11,13.62,3.09,68.53,64.23,78.72,67.33,67.2,73.16,12068,4.49,39626,21.21,33.96,46.73,60.33,1.81,2.89,3.98,5.13,77.62,3.55,5.83,3.24,2.33,2.63,2.12,45.91,6.76,60.53,2,24906,88.53,40.58,6.05,39.57,1974,7.47,0.49,54400,72600,99500,45100,275,346,440,165,410,27.3,22.6,12.6,478,60,8.51,60.91,36.25,68.16,87.35,795.0,158.36,584.0,116.33,512250.0,102038.2,644.3,158.4,95.47,75.09,9.81,14.72,0.38,24.91,22.0,9.0,62.9,225.6,2063.8,5.04,279.0,49661112.0,73.46,5.0,2.77,98923.0,599.78
NJ,56475,2.83,3.35,89.44,6.14,5.01,12.59,26.78,12.12,8.07,54882,97.18,47482,87.56,0.68,47.69,19.49,3.27,14.19,52927,18859,19122,17186,15740,16397,17139.0,14001,1947,3.47,5.02,16.79,24.22,4.49,70.08,16.21,18.78,12.73,28.83,6.05,29.04,9.14,7.65,3.24,84.91,82.93,93.5,80.75,50.35,63.56,454,1.2,6641,12.89,20.27,27.6,35.79,1.52,2.38,3.25,4.21,84.29,1.68,4.47,3.5,2.81,3.06,2.29,73.82,2.31,45.56,3,1132,94.64,67.89,1.41,49.73,1966,0.89,0.26,133700,159800,191300,57600,511,577,647,136,621,24.3,24.7,15.4,0,0,11.76,48.84,59.15,73.06,83.7,87.0,147.86,76.0,129.16,23993.0,40776.0,275.8,147.9,73.11,70.59,0.84,1.68,0.0,2.52,3.0,6.0,54.0,39.4,1434.0,13.8,48.0,7106686.0,87.36,0.0,3.45,120777.8,141.06
VA,96397,2.35,24.27,74.59,0.74,0.69,11.78,25.45,12.17,15.0,96397,100.0,22591,73.4,0.51,32.62,32.93,8.82,15.96,28203,12513,14061,7949,9191,8480,4200.0,8192,15238,16.08,13.56,32.03,15.65,5.47,58.89,16.36,22.75,17.62,20.81,13.47,30.1,16.44,15.09,2.91,60.93,55.91,70.25,64.43,61.53,69.6,4860,6.48,1515,18.68,26.14,32.21,39.27,0.29,0.41,0.51,0.62,96.45,0.6,3.82,2.42,2.3,2.42,2.15,59.41,2.04,49.65,3,3354,92.44,56.63,4.5,34.62,1956,8.47,0.42,40000,54000,72600,32600,210,278,349,139,336,24.3,18.8,12.7,285,15,1.57,73.5,53.69,78.16,90.25,242.0,247.91,223.0,228.45,91565.0,93801.2,378.4,247.9,78.28,86.52,3.0,1.12,0.0,4.12,14.0,14.0,83.7,44.4,2168.8,2.96,87.0,9162440.0,92.15,0.0,5.79,93862.1,578.8
